year,value,country,mnemonic,varlabel,title,subtitle,wbcountry_name,wbccode,wbregion_name,wbincome_name,wblending,countryid,indicatorid,date
2005,37.073105,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2010,-10.92205,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2008,3.4878461,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2024,-4.3165479,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2023,89.857307,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2013,4.7523284,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2012,21.594452,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2020,77.099998,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2023,89.25,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2023,1.95,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2011,4.291677,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2017,6.4110589,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2025,-.7159642,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2024,93.712502,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2025,3.5,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2019,-5.6528935,"AFG","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,228,"14 Aug 2024"
2016,95.724129,"AFG","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,221,"14 Aug 2024"
2007,-5.6331692,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2008,26.319973,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2016,-.43500486,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2019,2.6197131,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2015,11.37637,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2014,7.7711406,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2012,21.594452,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2007,8.5747919,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2023,98.376045,"AFG","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,221,"14 Aug 2024"
2023,3.5,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2007,6.7310038,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2022,-.89806545,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2015,1.373661,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2011,47.759998,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2005,0,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2013,-.54884022,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2024,55.184242,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2026,4.4499998,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2020,-2.3894649,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2017,11.730609,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2009,-.89046937,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2016,.12725799,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2022,-.89806545,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2016,-.72962832,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2020,-2.6405909,"AFG","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,228,"14 Aug 2024"
2025,54.87085,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2005,17.698103,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2014,8.3514261,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2017,97.725075,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2020,-13.640099,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2009,12.943719,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2019,-6.3196249,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
2012,52.139999,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2025,-18.600126,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2009,46.838028,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2022,85,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2014,2.7657804,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2020,2.8854036,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2005,3.8707817,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2020,12.584599,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2007,3.7311988,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2006,40.791904,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2024,5,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2021,12.701712,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2013,10.967393,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2016,5.9717517,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2009,49.203949,"AFG","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,223,"14 Aug 2024"
2009,49.18,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2015,62.42527,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2010,-10.682892,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
2009,3.2575214,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2015,-20.047096,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
